    f_weight    f_mass4l f_D_bkg_kin     f_pfmet
         1.0   1.181e+02   4.837e-01   2.753e+01
         1.0   1.200e+02   7.608e-01   2.504e+01
         1.0   1.241e+02   3.841e-01   6.754e+01
         1.0   1.335e+02   5.403e-01   2.206e+02
         1.0   1.236e+02   7.067e-01   3.049e+01
         1.0   1.269e+02   6.514e-01   2.501e+02
         1.0   1.216e+02   3.273e-01   6.711e+01
         1.0   1.269e+02   7.742e-01   1.750e+02
         1.0   1.263e+02   7.034e-01   1.682e+02
         1.0   1.240e+02   6.252e-01   3.317e+02
         1.0   1.244e+02   6.724e-01   8.901e+01
         1.0   1.238e+02   5.798e-01   3.602e+02
         1.0   1.270e+02   9.362e-01   1.711e+02
         1.0   1.257e+02   8.759e-01   9.024e+01
         1.0   1.254e+02   7.650e-01   7.887e+01
         1.0   1.243e+02   5.232e-01   8.912e+01
         1.0   1.180e+02   8.010e-01   2.076e+02
         1.0   1.262e+02   9.152e-01   1.285e+02
         1.0   1.283e+02   8.842e-01   7.504e+01
         1.0   1.267e+02   1.994e-01   2.139e+02
         1.0   1.221e+02   4.312e-01   1.632e+02
         1.0   1.261e+02   4.680e-01   9.791e+01
         1.0   1.256e+02   8.160e-01   8.489e+01
         1.0   1.247e+02   4.260e-01   1.102e+02
         1.0   1.251e+02   5.231e-01   1.389e+02
         1.0   1.241e+02   8.070e-01   6.251e+01
         1.0   1.235e+02   8.220e-01   1.411e+02
         1.0   1.252e+02   6.017e-01   1.640e+01
         1.0   1.243e+02   7.151e-01   1.589e+02
         1.0   1.243e+02   9.593e-01   7.055e+01
         1.0   1.240e+02   5.500e-01   2.775e+01
         1.0   1.242e+02   5.730e-01   1.665e+02
         1.0   7.918e+01   2.432e-01   2.427e+01
         1.0   1.262e+02   9.696e-01   1.800e+01
         1.0   1.245e+02   4.514e-01   3.445e+01
         1.0   1.231e+02   3.935e-01   2.006e+01
         1.0   1.264e+02   1.401e-01   2.455e+01
         1.0   1.262e+02   9.152e-01   1.285e+02
         1.0   1.251e+02   4.148e-01   6.617e+01
         1.0   1.324e+02   9.189e-01   1.763e+02
         1.0   1.293e+02   4.162e-01   1.086e+02
         1.0   1.254e+02   4.060e-01   1.001e+02
         1.0   1.258e+02   7.838e-01   2.030e+02
         1.0   1.243e+02   2.183e-01   1.177e+02
         1.0   1.303e+02   7.772e-01   1.204e+02
         1.0   1.344e+02   5.001e-02   1.510e+02
         1.0   1.095e+02   3.414e-01   6.704e+01
         1.0   1.250e+02   4.377e-01   4.530e+01
         1.0   1.416e+02   6.726e-01   3.039e+01
         1.0   1.182e+02   7.263e-01   6.207e+01
         1.0   1.229e+02   6.051e-01   2.286e+01
         1.0   1.235e+02   6.858e-01   1.648e+02
         1.0   1.215e+02   1.677e-01   1.042e+02
         1.0   1.245e+02   7.392e-01   5.682e+01
         1.0   1.255e+02   7.944e-01   3.319e+01
         1.0   1.288e+02   7.895e-02   1.330e+02
         1.0   1.242e+02   8.049e-01   9.641e+01
         1.0   1.250e+02   4.377e-01   4.530e+01
         1.0   1.263e+02   7.163e-01   8.400e+01
         1.0   1.203e+02   6.297e-01   4.608e+01
         1.0   1.232e+02   4.890e-01   7.771e+01
         1.0   1.316e+02   9.556e-01   1.389e+02
