        f_mass4l     f_D_bkg_kin         f_pfmet         target
      4.4779e-01     -2.5889e-01      1.3956e+00               1
      1.3472e+00     -5.2235e-01     -4.6932e-01               0
      4.0781e-01      1.6459e+00     -6.4007e-01               0
     -1.2600e+00     -1.6202e+00     -6.6413e-01               0
      2.6463e+00     -1.5687e+00     -5.4591e-01               0
      4.4779e-01     -4.8942e-01      1.4313e+00               1
     -8.9480e-01     -1.6404e+00     -6.2317e-01               0
      3.9782e-01      5.5132e-01      2.1712e-02               1
      3.6784e-01     -4.7171e-01     -4.6404e-01               1
      3.7783e-01      1.7284e+00     -4.1875e-01               1
      4.1281e-01      1.1777e+00     -4.2708e-01               1
      5.3273e-01      9.1605e-01      5.7805e-02               1
      2.5792e-01      1.6377e+00      3.8767e-02               1
      2.3293e-01      1.4968e+00     -8.4983e-02               1
     -1.4439e+00     -1.6467e+00     -6.2397e-01               0
      4.4279e-01      7.5777e-01      2.1108e+00               1
      3.2787e-01     -2.4189e-01     -2.1825e-01               1
      6.7763e-01      5.4247e-01     -6.3059e-01               0
      1.6798e-01      6.9686e-01     -6.7493e-01               0
      4.7777e-01      1.1763e+00     -6.1298e-01               0
      1.7069e+00      1.0265e+00     -6.2068e-01               0
      4.7777e-01     -9.4764e-01      1.1770e-01               1
      8.4751e-01     -5.2448e-01     -5.4813e-01               0
      2.4792e-01      1.4285e+00     -1.1751e-01               1
      2.0517e+00      1.3524e-01     -4.4889e-01               0
     -1.4544e+00     -3.9841e-01     -6.3955e-01               0
      3.3286e-01      1.2854e+00      9.4269e-01               1
     -1.6388e+00     -2.7660e-01     -6.3011e-01               0
     -1.0562e+00     -1.3708e+00     -6.9161e-01               0
      4.3779e-01     -1.1151e+00      8.3586e-02               1
     -8.3834e-01     -1.4398e+00     -6.0850e-01               0
     -1.2675e+00     -7.6740e-01     -6.5657e-01               0
      1.5920e+00     -7.2983e-02     -5.8962e-01               0
      2.2066e+00     -1.6267e+00     -5.6146e-01               0
      5.6770e-01      7.3620e-02      2.8746e-01               1
      8.3752e-01     -4.5295e-01     -4.8987e-01               0
      4.1281e-01      2.6661e-01     -5.5507e-01               1
      2.2294e-01      1.1806e+00     -1.1711e-01               1
     -1.3735e+00      1.3247e+00     -6.3004e-01               0
     -1.2660e+00     -1.0199e+00     -5.7320e-01               0
      3.6784e-01      1.2847e+00      2.5276e+00               1
      3.8783e-01      1.4458e+00     -2.5553e-01               1
     -1.2750e+00     -1.6105e+00     -6.3337e-01               0
      5.1774e-01     -1.1120e+00     -4.4612e-01               1
      4.2780e-01      1.5184e+00     -5.5658e-01               0
     -6.1149e-01      8.1974e-01      3.1627e-02               1
      4.8776e-01      3.9020e-01      2.0394e+00               1
     -1.2705e+00     -1.1385e+00     -6.1445e-01               0
      4.7777e-01      1.1296e+00     -5.6412e-01               0
     -1.4554e+00     -1.5041e+00     -6.4420e-01               0
      4.0781e-01      1.3601e+00     -2.1310e-01               1
      4.5278e-01      1.5152e+00      3.4497e-01               1
     -1.3330e+00     -9.5720e-01     -5.0466e-01               0
      1.5720e+00      1.1229e+00     -6.1361e-01               0
     -1.0922e+00      1.0740e+00     -6.3281e-01               0
      1.5770e+00     -1.5249e+00     -6.7179e-01               0
      4.8276e-01      7.3900e-01     -6.0624e-01               0
      2.5292e-01      1.6427e-01     -2.6704e-01               1
      4.1281e-01      6.6322e-01      2.1765e-01               1
     -3.2669e-01     -1.9905e-01      9.1493e-01               1
      3.9782e-01      7.2696e-01      4.5906e-02               1
     -1.3185e+00     -2.8935e-01     -6.6397e-01               0
      4.8276e-01      1.1186e+00     -5.8843e-01               0
     -1.2511e+00     -1.4954e+00     -6.8182e-01               0
     -1.8678e-01     -3.1874e-01      4.5444e-01               1
      3.1788e-01      2.5351e-01      2.9777e-01               1
      4.9276e-01      1.3948e-01      2.0790e+00               1
     -1.0147e+00     -5.8114e-01     -6.2861e-01               0
      2.0795e-01      1.6013e+00     -4.4417e-01               1
      1.1573e+00     -1.0772e+00     -5.2715e-01               0
      3.4286e-01      1.7889e+00     -5.4996e-01               1
      1.2872e+00     -6.3496e-01     -5.3766e-01               0
      2.1816e+00     -5.1385e-01     -5.7768e-01               0
      5.6271e-01      2.1562e-01      2.0775e+00               1
      1.0302e-01     -1.2465e+00      3.2421e-02               1
      2.6291e-01      3.0202e-01      1.4665e-01               1
      3.6284e-01      1.3757e+00     -8.1016e-02               1
     -1.2640e+00     -1.5561e+00     -6.4594e-01               0
      3.6784e-01      5.2370e-01     -5.3992e-01               1
      4.8276e-01      1.2036e+00     -5.3252e-02               1
      5.0275e-01      4.2525e-01      1.7745e-02               1
