    f_weight    f_mass4l f_D_bkg_kin     f_pfmet
         1.0   1.259e+02   1.437e-01   7.698e+02
         1.0   1.235e+02   8.773e-01   5.661e+02
         1.0   1.084e+02   6.574e-01   3.198e+02
         1.0   1.273e+02   6.035e-01   8.147e+02
         1.0   1.250e+02   4.287e-01   5.789e+02
         1.0   1.251e+02   7.659e-01   7.687e+02
         1.0   1.257e+02   1.948e-01   7.826e+02
         1.0   1.260e+02   5.533e-01   6.971e+02
         1.0   1.260e+02   6.476e-01   8.213e+02
         1.0   1.249e+02   5.662e-01   9.647e+02
         1.0   7.658e+01   7.017e-01   7.765e+02
         1.0   1.260e+02   6.728e-01   4.735e+02
         1.0   1.280e+02   3.528e-01   4.175e+02
         1.0   1.247e+02   8.090e-01   5.957e+02
         1.0   1.260e+02   9.646e-01   6.285e+02
         1.0   7.874e+01   7.070e-01   5.083e+02
         1.0   9.649e+01   8.562e-01   7.859e+02
         1.0   8.708e+01   8.218e-01   6.755e+02
         1.0   1.259e+02   6.518e-01   7.017e+02
         1.0   1.263e+02   4.107e-01   7.861e+02
         1.0   1.246e+02   7.668e-01   7.029e+02
         1.0   1.253e+02   2.962e-01   7.150e+02
         1.0   1.257e+02   4.090e-01   8.570e+02
         1.0   1.270e+02   7.238e-01   6.157e+02
         1.0   1.114e+02   7.401e-01   5.533e+02
         1.0   8.926e+01   7.207e-02   7.846e+02
         1.0   1.252e+02   6.758e-01   7.923e+02
         1.0   1.262e+02   8.226e-01   7.217e+02
         1.0   1.253e+02   7.822e-01   5.304e+02
         1.0   1.229e+02   8.832e-01   8.283e+02
         1.0   9.696e+01   3.717e-01   6.845e+02
         1.0   1.255e+02   4.978e-01   8.144e+02
         1.0   1.062e+02   8.652e-01   6.686e+02
         1.0   9.084e+01   2.695e-01   8.250e+02
         1.0   1.266e+02   3.700e-01   7.631e+02
         1.0   1.188e+02   3.785e-01   7.118e+02
         1.0   1.241e+02   5.131e-01   7.972e+02
         1.0   1.065e+02   9.283e-01   5.418e+02
         1.0   8.158e+01   7.848e-01   6.051e+02
         1.0   1.261e+02   8.109e-01   7.919e+02
         1.0   8.843e+01   6.888e-01   6.947e+02
         1.0   1.241e+02   6.079e-01   7.793e+02
         1.0   1.318e+02   3.501e-01   7.870e+02
         1.0   8.137e+01   6.053e-01   7.253e+02
         1.0   7.962e+01   8.141e-02   9.101e+02
         1.0   1.289e+02   2.864e-01   7.765e+02
         1.0   1.253e+02   6.725e-01   8.060e+02
         1.0   1.233e+02   4.744e-01   7.455e+02
         1.0   1.248e+02   7.528e-01   7.907e+02
         1.0   1.260e+02   6.150e-01   7.308e+02
         1.0   1.279e+02   8.187e-01   5.398e+02
         1.0   1.186e+02   4.102e-01   7.757e+02
         1.0   1.240e+02   7.717e-01   6.061e+02
         1.0   1.253e+02   6.627e-01   7.084e+02
         1.0   9.570e+01   8.393e-01   5.861e+02
         1.0   8.945e+01   9.754e-01   7.407e+02
         1.0   1.255e+02   1.565e-01   1.173e+03
         1.0   1.266e+02   5.734e-01   9.589e+02
         1.0   1.260e+02   6.795e-01   8.387e+02
         1.0   1.203e+02   3.627e-01   5.219e+02
         1.0   1.258e+02   3.885e-01   8.357e+02
         1.0   1.219e+02   9.026e-01   6.878e+02
         1.0   1.253e+02   5.393e-01   4.552e+02
         1.0   1.255e+02   8.979e-01   8.759e+02
         1.0   1.253e+02   7.917e-01   8.060e+02
         1.0   8.216e+01   3.614e-01   7.990e+02
         1.0   1.043e+02   2.314e-01   8.263e+02
         1.0   1.184e+02   5.490e-01   7.506e+02
         1.0   9.312e+01   3.870e-01   5.473e+02
         1.0   1.261e+02   8.740e-01   4.415e+02
         1.0   1.430e+02   9.255e-02   7.003e+02
         1.0   1.257e+02   3.330e-01   5.370e+02
         1.0   9.958e+01   7.621e-01   5.682e+02
         1.0   1.291e+02   9.593e-01   2.542e+02
         1.0   1.240e+02   1.525e-01   6.027e+02
         1.0   1.247e+02   5.237e-01   6.863e+02
         1.0   1.261e+02   2.522e-01   7.883e+02
         1.0   1.256e+02   6.289e-01   8.761e+02
         1.0   1.263e+02   3.912e-01   7.020e+02
         1.0   1.245e+02   7.763e-01   8.773e+02
         1.0   1.250e+02   7.302e-01   7.578e+02
         1.0   9.057e+01   8.877e-01   7.414e+02
         1.0   1.262e+02   6.118e-01   6.568e+02
         1.0   1.267e+02   5.819e-01   8.334e+02
         1.0   7.303e+01   7.088e-01   7.300e+02
         1.0   1.263e+02   3.994e-01   6.001e+02
         1.0   1.260e+02   4.067e-01   9.007e+02
         1.0   1.006e+02   8.081e-01   7.251e+02
         1.0   1.213e+02   6.763e-01   8.249e+02
         1.0   1.253e+02   4.636e-01   5.673e+02
         1.0   1.272e+02   4.839e-02   5.048e+02
         1.0   1.275e+02   7.386e-01   6.475e+02
         1.0   9.431e+01   7.022e-01   7.683e+02
         1.0   1.276e+02   4.769e-02   6.847e+02
         1.0   1.242e+02   1.279e-01   7.877e+02
         1.0   1.250e+02   4.040e-01   8.046e+02
         1.0   1.024e+02   5.650e-01   5.817e+02
         1.0   8.722e+01   2.871e-01   7.186e+02
         1.0   8.060e+01   8.722e-01   5.745e+02
         1.0   1.219e+02   7.300e-01   8.353e+02
         1.0   8.708e+01   8.218e-01   6.755e+02
         1.0   1.267e+02   7.508e-01   5.566e+02
         1.0   1.250e+02   7.889e-01   6.474e+02
         1.0   1.257e+02   5.407e-01   7.471e+02
         1.0   1.262e+02   4.448e-01   5.463e+02
         1.0   1.258e+02   1.852e-01   7.714e+02
         1.0   1.265e+02   8.820e-01   7.926e+02
         1.0   1.262e+02   2.496e-01   8.015e+02
         1.0   1.260e+02   5.761e-01   7.900e+02
         1.0   1.271e+02   8.103e-01   5.240e+02
         1.0   1.288e+02   5.291e-01   8.548e+02
         1.0   1.260e+02   5.953e-01   8.581e+02
         1.0   1.074e+02   2.388e-01   8.614e+02
         1.0   9.871e+01   4.715e-01   8.211e+02
         1.0   1.262e+02   5.517e-01   7.994e+02
         1.0   1.261e+02   5.893e-01   4.939e+02
         1.0   1.262e+02   8.245e-01   5.096e+02
         1.0   1.232e+02   4.283e-01   7.223e+02
         1.0   1.257e+02   6.436e-01   8.543e+02
         1.0   1.012e+02   7.305e-01   8.339e+02
         1.0   8.137e+01   6.053e-01   7.253e+02
         1.0   1.253e+02   9.231e-01   5.942e+02
         1.0   1.259e+02   7.284e-01   6.950e+02
         1.0   1.245e+02   9.469e-01   7.750e+02
         1.0   1.262e+02   8.417e-01   3.556e+02
         1.0   1.250e+02   8.803e-01   4.302e+02
         1.0   9.203e+01   4.218e-01   8.020e+02
         1.0   1.260e+02   6.476e-01   8.213e+02
         1.0   1.252e+02   6.806e-01   7.974e+02
         1.0   1.255e+02   5.467e-01   6.838e+02
         1.0   8.785e+01   6.637e-01   6.882e+02
         1.0   1.069e+02   7.260e-01   7.467e+02
         1.0   1.227e+02   6.081e-01   7.559e+02
         1.0   1.249e+02   8.165e-01   7.218e+02
         1.0   1.271e+02   6.555e-01   7.233e+02
