        f_mass4l     f_D_bkg_kin         target
      1.8672e-01      1.0285e+00               1
     -1.2762e+00      9.4670e-01               0
     -9.2716e-01     -1.5543e+00               0
     -1.4080e+00     -1.5375e+00               0
     -1.3533e+00      1.7760e+00               0
     -9.6084e-01     -1.4513e+00               0
     -1.2796e+00     -1.1235e+00               0
     -1.3152e+00      1.0720e+00               0
      1.1922e+00     -1.2943e+00               0
      4.4054e-01      1.2327e+00               1
     -1.6135e+00     -1.3369e+00               0
      1.4509e+00     -9.9469e-01               0
      1.7877e+00     -1.6266e+00               0
     -1.3006e+00     -1.5637e+00               0
     -1.1741e+00      2.5184e-01               0
      3.8196e-01      8.8283e-01               1
      2.2758e+00     -1.3556e+00               0
     -1.3240e+00      3.1571e-01               0
     -1.3450e+00     -1.4470e+00               0
     -1.4343e+00      1.6605e+00               0
      4.5518e-01     -2.3647e-02               1
      4.8447e-01     -3.5879e-01               1
      3.8684e-01      5.4242e-01               1
      5.2352e-01      2.3078e-01               1
      4.0637e-01      4.3608e-01               1
      3.3803e-01      9.6284e-01               1
      4.3077e-01      4.0660e-01               1
      4.3077e-01      6.9192e-01               1
      4.9911e-01     -6.1884e-01               1
     -2.2597e+00      3.3205e-02               0
     -1.3977e+00     -1.5765e+00               0
      5.0887e-01      1.6551e-01               1
      1.0360e+00      1.4726e-01               0
      1.9683e+00     -1.0066e+00               0
      3.2827e-01      1.0348e+00               0
     -1.2918e+00      1.2885e+00               0
      3.1851e-01     -5.8129e-01               1
      2.2577e-01      1.5275e+00               1
     -1.9117e+00      8.5756e-01               0
      8.6032e-01      6.9262e-01               0
      3.5268e-01     -3.4651e-01               1
      5.4792e-01      4.0730e-01               1
      2.8922e-01      2.7816e-01               1
      2.0624e-01      1.2917e+00               1
      2.7946e-01      1.1288e+00               1
     -1.6496e+00     -6.1357e-01               0
      1.6608e+00      7.1473e-01               0
      4.1125e-01      1.8009e+00               1
     -1.1205e+00      8.3720e-01               0
      3.3315e-01      1.0450e+00               1
      4.7470e-01      4.7679e-01               1
      1.1776e+00     -1.4153e+00               0
      6.5043e-01     -5.6760e-01               1
      1.2655e+00      1.0432e+00               0
     -9.2618e-01     -6.9324e-01               1
     -1.3152e+00     -1.5941e+00               0
      2.5993e-01      3.2624e-01               1
     -1.3987e+00     -1.6084e+00               0
      2.1112e-01      4.1327e-01               1
      1.9781e+00     -8.1606e-01               0
      4.4054e-01      2.4763e-01               1
      1.6901e+00     -1.2232e+00               0
     -1.0926e+00      2.6412e-01               0
      2.3553e-01     -1.1103e-01               1
     -1.3699e+00      1.0779e+00               0
     -1.3767e+00      1.4008e+00               0
      9.3975e-02      1.6310e+00               1
      2.4760e+00     -5.2549e-01               0
     -1.4621e+00     -1.2428e+00               0
      9.3841e-01      1.1537e+00               0
     -1.5715e+00     -1.2871e+00               0
      1.2362e+00     -1.0214e+00               0
     -1.2693e+00     -1.4534e+00               0
      8.9936e-01     -3.2124e-01               0
     -4.7578e-02      3.2905e-01               1
      3.1363e-01     -6.4621e-01               1
      3.3315e-01     -5.2584e-01               1
      3.5268e-01      6.4805e-01               1
     -1.2942e+00     -4.4933e-01               0
     -1.2522e+00      5.5540e-01               0
      5.9673e-01     -3.6632e-02               1
      1.4767e-01      6.7753e-01               1
     -1.3533e+00      1.4338e+00               0
     -1.2112e+00     -1.1175e+00               0
      4.1125e-01      1.4612e+00               1
     -8.3832e-01     -5.7637e-01               0
      3.8196e-01      6.2383e-01               1
      4.0637e-01      9.8144e-01               1
     -1.5051e+00     -4.2442e-01               0
      2.2612e+00     -1.3732e+00               0
      4.2101e-01      5.6452e-01               1
      3.8684e-01      1.6226e+00               1
      3.8196e-01      1.2857e+00               0
      1.9781e+00     -1.5452e+00               0
      3.3803e-01      1.6201e+00               1
      2.5993e-01      1.4331e+00               1
      2.1112e-01      1.5542e+00               1
      4.0149e-01      1.2882e+00               1
     -1.3562e+00     -4.7390e-01               0
     -1.3045e+00     -1.0459e+00               0
      5.1864e-01     -1.2937e+00               1
     -4.3807e-01     -1.0445e+00               0
      2.0025e+00      9.2775e-01               0
     -5.6986e-01     -9.5363e-01               0
      5.8697e-01      8.1685e-01               0
      9.2377e-01      1.1622e+00               1
      4.7470e-01      1.3654e+00               1
     -1.2391e+00      1.8341e-01               0
     -1.5915e+00      1.0043e-02               0
     -1.0702e+00     -5.9146e-01               0
      2.6970e-01     -2.6158e-01               0
      1.1581e+00     -1.2656e+00               0
      3.1851e-01      1.0572e+00               1
      3.7220e-01      9.0408e-02               1
     -2.8675e-01     -5.8339e-01               0
      3.6732e-01      1.5064e+00               1
     -1.2986e+00     -2.8369e-01               0
      3.4291e-01      9.8354e-01               1
      1.2326e-01     -2.9352e-01               0
      2.7946e-01      9.4740e-01               1
      2.8434e-01      1.2573e+00               1
      2.1685e+00     -2.6685e-01               0
      3.5401e-02      3.4414e-01               0
      3.5756e-01      6.5015e-01               1
      1.2752e+00      7.0525e-01               0
      1.4767e-01      1.0734e+00               1
      4.5164e-02     -2.1561e-01               0
      1.0374e-01      1.4699e+00               1
      4.5030e-01     -1.3030e+00               1
      3.7708e-01      1.2471e+00               1
      1.7207e-01      6.6349e-01               1
      3.1851e-01      6.7472e-01               1
      3.3315e-01      1.7604e-01               1
      2.7458e-01      9.6916e-01               1
     -1.5202e+00     -1.4585e+00               0
     -1.4631e+00     -1.5716e+00               0
      6.9569e-02      8.2597e-01               1
      1.3728e+00      7.6245e-01               0
      2.4516e+00     -1.5556e+00               0
      1.1385e+00      1.2059e-01               0
      2.1977e+00      5.2506e-02               1
     -7.1141e-01      7.2982e-01               0
      4.6982e-01      2.9114e-01               1
     -1.5886e+00      5.2592e-01               0
      2.8922e-01     -2.2123e-01               1
      3.9173e-01     -1.0779e+00               1
     -1.2596e+00     -1.5244e+00               0
      3.4291e-01      9.8495e-01               1
      2.9410e-01      7.1051e-01               1
      6.9436e-01     -7.3535e-01               0
      3.1363e-01      3.4449e-01               1
      3.8684e-01      1.7156e+00               1
      7.8710e-01     -6.3654e-02               0
     -1.3367e+00     -8.4519e-01               0
     -6.0403e-01     -4.5756e-02               0
      4.4542e-01     -8.4309e-01               1
     -1.2654e+00     -1.1126e+00               0
      2.4529e-01      3.5923e-01               1
     -1.7120e+00     -1.1705e+00               0
      2.4041e-01      4.8997e-02               1
      6.0650e-01     -8.9678e-01               0
     -1.3084e+00      8.1615e-01               0
      4.7959e-01      5.9120e-01               1
      4.3077e-01      1.3948e+00               1
      7.1388e-01      1.3626e+00               1
     -1.2513e+00     -1.5832e+00               0
      2.6970e-01      1.1997e+00               1
      1.9000e+00      1.4713e+00               0
     -1.2274e+00     -4.2758e-01               0
     -1.3494e+00      9.2248e-01               0
     -1.4485e+00     -6.8567e-02               0
      8.4567e-01      7.1473e-01               1
      2.1600e-01      7.1683e-01               1
     -1.2727e+00      9.8951e-01               0
      3.2827e-01      1.5121e+00               1
     -1.3904e+00      9.2002e-01               0
      2.9410e-01     -9.3889e-01               1
      1.6755e+00      7.5298e-01               0
      2.8922e-01      9.8039e-01               1
      2.0136e-01      2.2833e-01               1
     -1.4001e+00      1.5205e+00               0
     -1.4543e+00     -1.0512e+00               0
     -1.4372e+00     -1.4114e+00               0
     -9.1837e-01      1.7430e+00               1
      2.4529e-01      3.7537e-01               1
      4.0149e-01      1.0439e+00               1
     -1.1292e+00     -7.8834e-01               0
     -5.2459e-02      5.0557e-01               1
      3.7220e-01     -1.0172e+00               1
     -1.2508e+00     -1.0884e+00               0
      3.0386e-01      1.6917e+00               1
     -3.1116e-01      1.7163e+00               1
     -2.3172e-02     -1.9736e-01               1
      4.5030e-01      1.2655e-01               1
     -4.1366e-01      1.3320e+00               1
      2.2514e+00     -1.1554e+00               0
