    f_weight    f_mass4l f_D_bkg_kin      f_pt4l
         1.0   1.236e+02   9.111e-01   1.991e+02
         1.0   1.232e+02   5.122e-01   2.299e+02
         1.0   1.264e+02   4.893e-01   2.145e+02
         1.0   1.257e+02   1.621e-01   2.093e+02
         1.0   1.253e+02   2.490e-01   9.641e+01
         1.0   1.262e+02   7.537e-01   2.084e+02
         1.0   1.240e+02   5.912e-01   2.147e+02
         1.0   1.247e+02   3.882e-01   2.007e+02
         1.0   1.245e+02   7.024e-01   1.928e+02
         1.0   1.166e+02   8.034e-01   2.166e+02
         1.0   1.241e+02   5.000e-01   1.557e+02
         1.0   1.173e+02   9.069e-01   1.391e+02
         1.0   1.258e+02   9.040e-01   2.234e+02
         1.0   1.242e+02   1.595e-01   2.010e+02
         1.0   1.236e+02   9.644e-01   1.941e+02
         1.0   1.257e+02   5.051e-01   1.898e+02
         1.0   1.241e+02   5.371e-01   1.761e+02
         1.0   1.238e+02   8.316e-01   5.160e+01
         1.0   1.247e+02   9.311e-01   1.429e+02
         1.0   1.280e+02   2.928e-01   1.433e+02
         1.0   1.233e+02   4.029e-01   1.350e+02
         1.0   1.251e+02   3.236e-01   1.230e+02
         1.0   1.263e+02   3.657e-01   1.927e+02
         1.0   1.245e+02   8.998e-01   2.891e+02
         1.0   1.255e+02   1.319e-01   1.767e+02
         1.0   1.250e+02   9.384e-01   2.415e+02
         1.0   1.262e+02   9.194e-01   1.797e+02
         1.0   1.270e+02   6.445e-01   1.824e+02
         1.0   1.250e+02   1.164e-01   9.968e+01
         1.0   1.136e+02   8.602e-01   1.547e+02
         1.0   1.287e+02   4.517e-01   1.636e+02
         1.0   1.242e+02   6.277e-01   2.034e+02
         1.0   1.246e+02   8.200e-01   2.064e+02
         1.0   1.268e+02   8.495e-01   2.027e+02
         1.0   1.246e+02   7.588e-01   3.079e+02
         1.0   1.229e+02   9.892e-01   1.949e+02
         1.0   1.208e+02   2.103e-01   1.679e+02
         1.0   1.245e+02   9.556e-01   1.378e+02
         1.0   1.262e+02   4.663e-01   1.910e+02
         1.0   1.262e+02   5.538e-01   1.959e+02
         1.0   1.266e+02   5.982e-01   1.754e+02
         1.0   1.241e+02   2.487e-01   2.081e+02
         1.0   1.257e+02   2.715e-01   1.647e+02
         1.0   1.257e+02   3.913e-01   1.422e+02
         1.0   1.239e+02   4.786e-01   2.022e+02
         1.0   1.245e+02   2.564e-01   1.826e+02
         1.0   1.258e+02   4.812e-01   2.256e+02
         1.0   1.249e+02   1.286e-01   2.440e+02
         1.0   1.272e+02   1.257e-01   1.884e+02
         1.0   1.278e+02   1.470e-01   3.505e+02
         1.0   1.219e+02   8.381e-01   1.929e+02
         1.0   1.173e+02   2.752e-01   1.461e+02
         1.0   1.243e+02   4.501e-01   1.674e+02
         1.0   1.266e+02   8.599e-01   2.477e+02
         1.0   1.226e+02   9.304e-01   1.842e+02
         1.0   1.255e+02   9.055e-01   1.677e+02
         1.0   1.148e+02   6.813e-01   1.913e+02
         1.0   1.232e+02   8.541e-01   2.199e+02
         1.0   1.253e+02   6.412e-01   2.221e+02
         1.0   1.227e+02   5.808e-01   1.798e+02
         1.0   1.292e+02   4.438e-01   2.129e+02
         1.0   1.216e+02   6.503e-01   2.053e+02
         1.0   1.262e+02   5.361e-01   2.027e+02
         1.0   1.243e+02   8.456e-01   1.440e+02
         1.0   1.236e+02   4.921e-01   1.316e+02
         1.0   1.264e+02   2.878e-01   1.865e+02
         1.0   1.241e+02   3.721e-01   2.470e+02
         1.0   1.241e+02   4.978e-01   3.230e+02
         1.0   1.207e+02   3.631e-01   1.886e+02
         1.0   1.246e+02   8.695e-01   2.199e+02
         1.0   1.252e+02   8.956e-01   2.484e+02
         1.0   1.261e+02   7.067e-01   1.822e+02
         1.0   1.267e+02   9.356e-01   1.890e+02
         1.0   1.253e+02   4.428e-01   1.899e+02
         1.0   1.241e+02   7.256e-01   1.669e+02
         1.0   1.223e+02   7.315e-01   1.930e+02
         1.0   1.255e+02   5.939e-01   2.008e+02
         1.0   1.270e+02   4.677e-01   1.666e+02
         1.0   1.264e+02   5.065e-01   1.871e+02
         1.0   1.240e+02   4.358e-01   1.872e+02
         1.0   1.271e+02   2.206e-01   1.158e+02
         1.0   1.241e+02   3.721e-01   2.470e+02
         1.0   1.235e+02   1.205e-01   2.078e+02
         1.0   1.207e+02   5.817e-01   1.427e+02
         1.0   1.267e+02   8.846e-01   1.480e+02
         1.0   1.234e+02   7.647e-01   1.811e+02
         1.0   1.179e+02   5.800e-01   1.606e+02
         1.0   1.252e+02   6.977e-01   3.129e+02
         1.0   1.248e+02   3.104e-01   2.064e+02
         1.0   1.278e+02   9.429e-01   1.863e+02
         1.0   1.130e+02   8.039e-01   1.546e+02
         1.0   1.241e+02   3.181e-01   1.680e+02
         1.0   1.254e+02   9.255e-01   1.096e+02
