        f_mass4l     f_D_bkg_kin          f_pt4l         target
     -1.1441e+00     -7.1985e-01     -6.7823e-01               0
     -1.2698e+00     -9.1874e-01     -2.1989e-01               0
     -2.2644e+00     -1.0283e+00     -5.6595e-01               0
      4.0202e-01      9.0198e-02     -2.5514e-01               1
      4.0695e-01     -9.7387e-02     -4.3809e-01               0
      8.9982e-01     -1.6346e+00     -3.5732e-01               0
      5.3017e-01      4.1733e-01      1.5465e+00               1
      3.9709e-01      6.9709e-02     -7.2727e-01               0
     -1.2797e+00     -7.3045e-01     -6.3428e-01               0
      3.3794e-01      9.3557e-01      2.8277e+00               1
      4.7595e-01     -2.8992e-01     -2.8909e-01               1
      1.5159e+00      6.3105e-01     -4.8422e-01               0
      1.7131e+00      6.3176e-01     -6.9097e-01               0
      3.9216e-01      8.1652e-01     -4.0846e-01               1
     -1.2210e+00     -5.6761e-02     -6.8367e-01               0
      4.2173e-01     -8.1311e-01      2.9182e+00               1
      4.1188e-01      7.5187e-01      1.3609e-01               1
     -1.0145e+00     -1.3423e+00     -6.2362e-01               0
     -1.2033e+00     -9.1344e-01     -6.7527e-01               0
     -1.3960e+00     -2.1185e-01     -6.9235e-01               0
      2.5908e-01      2.0007e-01     -3.9514e-01               1
     -1.9554e+00      1.0013e+00      7.4623e-01               1
      2.2109e+00     -1.6303e+00     -4.3339e-01               0
     -1.4803e+00     -8.1170e-01     -7.1346e-01               0
      4.3159e-01      8.8046e-01      2.5940e+00               1
     -1.6863e+00      4.7526e-01      1.0234e+00               1
     -1.3033e+00     -1.4803e+00     -7.0003e-01               0
     -1.1929e+00     -1.5292e+00     -6.7423e-01               0
      2.1714e+00      4.0637e-01     -2.1989e-01               0
      2.3785e+00     -1.6309e+00     -6.1639e-01               0
     -1.4142e+00     -1.3676e+00      5.8695e-01               1
     -1.1974e+00     -1.6462e+00     -5.5951e-01               0
      1.2202e+00     -4.3123e-01     -4.7139e-01               0
