    f_weight    f_mass4l f_D_bkg_kin      f_pt4l
         1.0   1.288e+02   9.389e-01   7.042e+01
         1.0   1.265e+02   1.195e-01   2.388e+01
         1.0   1.330e+02   7.137e-01   1.208e+02
         1.0   1.252e+02   8.597e-01   9.245e+01
         1.0   1.245e+02   3.188e-01   9.990e+01
         1.0   1.255e+02   6.964e-01   6.700e+01
         1.0   1.233e+02   2.875e-01   5.464e+01
         1.0   1.195e+02   4.098e-01   2.189e+02
         1.0   1.259e+02   2.307e-01   1.555e+02
         1.0   1.261e+02   6.338e-01   9.599e+01
         1.0   1.216e+02   8.834e-01   6.873e+01
         1.0   1.269e+02   6.514e-01   2.699e+02
         1.0   1.250e+02   7.893e-01   8.201e+01
         1.0   1.246e+02   2.902e-01   1.281e+02
         1.0   1.001e+02   4.069e-01   2.569e+01
         1.0   1.284e+02   5.262e-01   3.200e+01
         1.0   1.260e+02   9.234e-01   2.376e+02
         1.0   1.269e+02   5.077e-01   1.967e+02
         1.0   1.267e+02   7.821e-01   2.582e+02
         1.0   1.296e+02   2.160e-02   1.129e+02
         1.0   1.277e+02   6.614e-01   1.698e+02
         1.0   1.293e+02   8.070e-01   2.123e+02
         1.0   1.249e+02   8.344e-01   2.056e+01
         1.0   1.151e+02   3.504e-02   2.087e+02
         1.0   1.258e+02   3.984e-01   6.702e+01
         1.0   1.256e+02   5.836e-01   3.482e+01
         1.0   1.237e+02   2.783e-01   1.487e+02
         1.0   1.264e+02   8.469e-01   1.281e+02
         1.0   1.244e+02   7.928e-01   4.844e+01
         1.0   1.264e+02   8.992e-01   8.590e+01
         1.0   1.199e+02   6.729e-01   5.755e+01
         1.0   1.280e+02   8.385e-01   8.261e+01
         1.0   1.249e+02   5.130e-01   9.037e+01
         1.0   1.233e+02   8.945e-01   7.651e+01
         1.0   1.264e+02   7.390e-01   1.040e+02
         1.0   1.236e+02   6.342e-01   5.720e+01
         1.0   1.279e+02   2.992e-01   1.064e+02
         1.0   1.247e+02   5.905e-01   6.707e+01
         1.0   1.238e+02   6.874e-01   1.119e+02
         1.0   1.240e+02   7.047e-01   7.074e+01
         1.0   1.284e+02   1.217e-01   1.762e+02
         1.0   1.269e+02   4.035e-01   1.052e+02
         1.0   1.247e+02   5.383e-01   9.227e+01
         1.0   1.261e+02   3.781e-01   9.490e+01
         1.0   1.254e+02   6.537e-01   2.972e+02
         1.0   1.282e+02   4.495e-01   1.286e+02
         1.0   1.216e+02   8.926e-01   2.778e+01
         1.0   1.240e+02   7.807e-01   1.871e+02
         1.0   1.256e+02   6.538e-01   9.488e+01
         1.0   1.270e+02   8.067e-01   3.524e+01
         1.0   1.250e+02   4.397e-01   1.812e+01
         1.0   1.246e+02   4.082e-01   5.036e+01
         1.0   1.258e+02   3.734e-01   1.401e+02
         1.0   1.247e+02   6.940e-01   1.148e+02
         1.0   1.262e+02   3.039e-01   7.602e+01
         1.0   1.251e+02   9.579e-01   1.785e+01
         1.0   1.258e+02   3.734e-01   1.401e+02
         1.0   1.228e+02   6.127e-01   7.406e+01
         1.0   1.248e+02   6.847e-01   8.645e+01
         1.0   1.252e+02   4.697e-01   3.278e+01
         1.0   1.269e+02   7.320e-01   1.326e+02
         1.0   1.269e+02   3.547e-01   4.095e+02
         1.0   1.349e+02   9.080e-01   1.596e+02
         1.0   1.236e+02   6.342e-01   5.720e+01
         1.0   1.245e+02   3.656e-01   1.087e+02
         1.0   1.267e+02   9.071e-01   1.632e+02
         1.0   1.271e+02   3.909e-01   1.022e+02
         1.0   1.249e+02   3.628e-01   7.182e+01
         1.0   1.249e+02   3.166e-01   2.177e+02
         1.0   1.243e+02   7.518e-01   7.793e+01
         1.0   1.255e+02   4.562e-01   1.869e+02
         1.0   1.258e+02   7.133e-01   1.037e+02
         1.0   1.203e+02   7.863e-01   1.330e+02
         1.0   1.256e+02   9.011e-01   2.130e+01
         1.0   1.227e+02   8.689e-01   9.728e+01
         1.0   1.190e+02   6.894e-01   4.809e+01
         1.0   1.243e+02   5.068e-01   8.874e+00
         1.0   1.267e+02   1.994e-01   2.725e+02
         1.0   1.243e+02   8.184e-01   1.948e+02
         1.0   1.220e+02   5.391e-01   7.206e+01
         1.0   1.207e+02   5.539e-01   1.482e+02
         1.0   1.203e+02   5.848e-01   8.367e+01
         1.0   1.248e+02   7.040e-01   1.014e+02
         1.0   1.262e+02   4.097e-01   1.959e+02
         1.0   1.255e+02   9.672e-02   8.960e+01
         1.0   1.256e+02   5.865e-01   9.976e+01
         1.0   1.251e+02   8.966e-01   7.026e+01
         1.0   1.242e+02   2.916e-01   1.672e+02
         1.0   1.262e+02   6.253e-01   1.822e+01
         1.0   1.183e+02   7.195e-01   1.087e+02
         1.0   1.235e+02   8.428e-01   1.022e+02
         1.0   1.250e+02   7.701e-01   5.765e+01
         1.0   1.233e+02   3.772e-01   1.307e+02
         1.0   1.255e+02   7.230e-01   1.697e+02
         1.0   1.251e+02   8.966e-01   7.026e+01
         1.0   1.246e+02   9.246e-01   5.035e+01
         1.0   1.263e+02   3.678e-01   1.014e+02
         1.0   1.263e+02   4.634e-01   6.792e+01
         1.0   1.253e+02   2.783e-01   6.447e+01
         1.0   1.245e+02   4.514e-01   3.771e+01
         1.0   1.268e+02   6.510e-01   7.627e+01
         1.0   1.252e+02   5.298e-02   1.982e+02
         1.0   1.255e+02   9.807e-01   1.082e+02
         1.0   1.257e+02   7.963e-01   4.320e+01
         1.0   1.223e+02   4.043e-01   4.484e+01
         1.0   1.213e+02   8.695e-01   1.787e+02
         1.0   1.259e+02   4.896e-01   1.719e+01
         1.0   1.237e+02   5.260e-01   7.134e+01
         1.0   1.242e+02   8.121e-01   2.357e+02
         1.0   1.230e+02   3.566e-01   8.033e+01
         1.0   1.258e+02   7.828e-01   8.665e+01
         1.0   1.248e+02   6.138e-01   2.469e+02
         1.0   1.270e+02   1.313e-01   1.083e+02
         1.0   1.247e+02   6.999e-01   6.524e+01
         1.0   1.245e+02   8.795e-01   1.232e+02
         1.0   1.269e+02   9.064e-01   1.257e+02
         1.0   1.052e+02   5.208e-01   6.669e+01
         1.0   1.245e+02   6.895e-01   2.235e+02
         1.0   1.338e+02   1.010e-01   1.573e+02
         1.0   1.284e+02   5.262e-01   3.200e+01
         1.0   1.252e+02   7.012e-01   2.802e+01
         1.0   1.248e+02   3.899e-01   8.601e+01
         1.0   1.247e+02   3.561e-01   1.154e+02
         1.0   1.241e+02   6.191e-01   2.724e+01
         1.0   1.245e+02   2.130e-01   2.245e+02
         1.0   1.232e+02   8.344e-01   1.756e+02
         1.0   1.248e+02   7.409e-01   1.606e+01
         1.0   1.248e+02   8.614e-01   8.490e+01
         1.0   1.260e+02   2.886e-01   6.589e+01
         1.0   1.262e+02   2.411e-01   1.280e+02
         1.0   1.259e+02   9.786e-01   7.013e+01
         1.0   1.256e+02   8.990e-01   2.289e+02
         1.0   1.272e+02   7.262e-01   5.163e+00
         1.0   1.275e+02   3.120e-01   7.196e+01
         1.0   1.250e+02   5.949e-01   1.072e+02
         1.0   1.256e+02   7.239e-01   9.387e+01
         1.0   1.220e+02   9.517e-01   1.606e+01
         1.0   1.233e+02   9.296e-01   9.665e+01
         1.0   1.248e+02   7.043e-01   3.485e+02
         1.0   1.270e+02   6.466e-01   1.471e+02
         1.0   1.145e+02   7.401e-01   1.370e+02
         1.0   1.252e+02   1.331e-01   8.212e+01
         1.0   1.241e+02   7.806e-01   1.550e+02
         1.0   1.320e+02   8.858e-01   1.009e+02
         1.0   1.225e+02   3.909e-01   5.045e+01
         1.0   1.230e+02   5.376e-01   9.885e+01
         1.0   1.164e+02   6.335e-01   8.021e+01
         1.0   1.237e+02   7.785e-01   1.144e+02
         1.0   1.389e+02   7.215e-01   7.827e+01
         1.0   1.254e+02   8.422e-01   5.583e+01
         1.0   1.229e+02   7.021e-01   8.725e+01
         1.0   1.256e+02   3.092e-01   4.217e+01
         1.0   1.258e+02   9.013e-01   4.399e+01
         1.0   1.261e+02   6.961e-01   4.596e+01
         1.0   1.233e+02   8.994e-01   1.979e+02
         1.0   1.258e+02   5.041e-01   8.249e+01
         1.0   1.247e+02   2.742e-01   1.604e+02
         1.0   1.107e+02   8.294e-01   3.016e+01
         1.0   1.260e+02   6.080e-01   4.423e+01
         1.0   1.253e+02   4.114e-01   3.687e+02
         1.0   1.267e+02   6.708e-01   5.179e+01
         1.0   1.225e+02   7.292e-01   5.994e+01
         1.0   1.222e+02   7.290e-01   8.539e+01
         1.0   1.247e+02   9.040e-01   3.747e+01
         1.0   1.223e+02   7.896e-01   1.518e+02
         1.0   1.269e+02   4.673e-01   7.837e+01
         1.0   1.253e+02   6.925e-01   3.848e+01
         1.0   1.255e+02   4.334e-01   2.220e+02
         1.0   1.241e+02   5.820e-01   5.640e+01
         1.0   1.241e+02   9.392e-01   1.485e+01
         1.0   1.229e+02   6.443e-01   1.107e+02
         1.0   1.251e+02   3.638e-01   8.511e+01
         1.0   1.247e+02   3.622e-01   6.186e+01
         1.0   1.276e+02   8.748e-01   1.459e+02
         1.0   1.236e+02   8.112e-01   5.996e+01
         1.0   1.276e+02   7.161e-01   1.389e+02
         1.0   1.265e+02   9.442e-01   1.081e+02
         1.0   1.256e+02   7.981e-01   5.220e+01
         1.0   1.203e+02   8.807e-01   4.715e+01
         1.0   1.170e+02   6.250e-01   1.075e+01
         1.0   1.246e+02   7.839e-01   1.914e+02
         1.0   1.264e+02   1.401e-01   2.431e+01
         1.0   1.245e+02   2.589e-01   1.312e+02
         1.0   1.268e+02   7.269e-01   1.020e+02
         1.0   1.149e+02   8.373e-01   8.872e+01
         1.0   1.244e+02   1.490e-02   8.461e+01
         1.0   1.269e+02   3.696e-01   5.123e+01
         1.0   1.254e+02   4.587e-01   1.700e+02
         1.0   1.170e+02   6.250e-01   1.075e+01
         1.0   1.253e+02   6.969e-01   1.106e+02
         1.0   1.233e+02   9.595e-01   7.039e+01
         1.0   1.252e+02   8.284e-01   8.083e+01
         1.0   1.261e+02   4.729e-02   1.040e+02
         1.0   1.270e+02   5.853e-01   4.634e+01
         1.0   1.233e+02   9.296e-01   9.665e+01
         1.0   1.263e+02   3.749e-01   4.793e+01
         1.0   1.278e+02   9.379e-01   4.201e+01
         1.0   1.249e+02   9.419e-01   1.451e+02
         1.0   1.128e+02   7.408e-01   1.348e+02
         1.0   1.240e+02   7.874e-01   2.510e+01
         1.0   1.260e+02   4.636e-01   1.666e+01
         1.0   1.144e+02   8.248e-01   4.048e+01
         1.0   1.259e+02   3.749e-01   4.956e+01
         1.0   1.262e+02   6.142e-01   8.640e+01
         1.0   1.271e+02   9.679e-01   1.005e+01
         1.0   1.308e+02   1.568e-01   4.092e+01
         1.0   1.204e+02   7.234e-01   2.019e+02
         1.0   1.257e+02   6.036e-01   1.172e+02
         1.0   1.262e+02   9.075e-01   7.819e+01
         1.0   1.242e+02   7.606e-01   5.760e+01
         1.0   1.224e+02   9.576e-01   2.417e+01
         1.0   1.255e+02   9.672e-02   8.960e+01
         1.0   1.250e+02   9.254e-01   4.357e+01
